"Something went wrong while generating the coupon code, please try again.","Нещо се обърка при генериране на кода на талона, моля опитайте отново."
Schedule has been deleted successfully,График е изтрит успешно
Invalid Data.,Невалидни данни.
Add/Edit Schedule,Добавяне / Редактиране на график
Schedule has been saved successfully.,График е записан успешно.
Email has been sent successfully.,Email е изпратено успешно.
"Something went wrong while sending the coupon email, please try again.","Възникна проблем при изпращането на купон имейла, моля, опитайте отново."
Spin and Win,Spin и Win
Knowband,Knowband
Settings saved successfully.,Настройките са запазени успешно.
New Customer,Нов клиент
No list found. (Verify Credentials),Не списък намерен. (Потвърждаване на идентификационни данни)
The Private Klaviyo API Key you have set is invalid.,Личният Klaviyo API ключ имате набор е невалиден.
The Private Klaviyo API key you have set is no longer valid.,Ключът за API Private Klaviyo имате набор вече не е валидна.
Unable to verify Klaviyo Private API Key.,Не може да се провери Klaviyo Частен API Key.
Mobile,Подвижен
Tablet,таблетка
Desktop,работен плот
You have already taken advantage of this offer. Please try another email.,"Вие вече са се възползвали от тази оферта. Моля, опитайте с друг имейл."
Not your lucky day today. Better Luck Next Time.,Не си днес щастлив ден. По-добър късмет следващия път.
Error occurred while subscribing. Please try again later.,"Възникна грешка при абонирането. Моля, опитайте отново по-късно."
Jan,Jan
Feb,февруари
Mar,развалям
Apr,април
May,Може
Jun,юни
Jul,юли
Aug,август
Sep,септември
Oct,октомври
Nov,ноември
Dec,декември
None,Нито един
Rose Day,Rose Day
Propose Day,Предлага ден
Chocolate Day,Шоколад ден
Teddy Day,Теди ден
Promise Day,Promise ден
Hug Day,Ден на прегръдката
Kiss Day,Kiss Day
Valentine\'s Day,Свети Валентин
Xmas Theme 1,Xmas Тема 1
Xmas Theme 2,Коледа Тема 2
Merry Christmas - Theme 1,Весела Коледа - Тема 1
Merry Christmas - Theme 2,Весела Коледа - Тема 2
Merry Christmas - Theme 3,Весела Коледа - Тема 3
Merry Christmas - Theme 4,Весела Коледа - Тема 4
Merry Christmas - Theme 5,Весела Коледа - Тема 5
Black Friday Theme1,Черен петък THEME1
Black Friday Theme2,Черен петък THEME2
Black Friday Theme3,Черен петък Theme3
Black Friday Theme4,Черен петък Theme4
Diwali Theme1,Дивали THEME1
Diwali Theme2,Дивали THEME2
Diwali Theme3,Дивали Theme3
Diwali Theme4,Дивали Theme4
Diwali Theme5,Дивали Theme5
Easter Theme1,Великден THEME1
Easter Theme2,Великден THEME2
Easter Theme3,Великден Theme3
Halloween Theme1,Хелоуин THEME1
Halloween Theme2,Хелоуин THEME2
Halloween Theme3,Хелоуин Theme3
Halloween Theme4,Хелоуин Theme4
Thanks Giving Theme1,Благодарността THEME1
Happy New Year Theme1,Честита Нова Година THEME1
Happy New Year Theme2,Честита Нова Година THEME2
Happy New Year Theme3,Честита Нова Година Theme3
Happy New Year Theme4,Честита Нова Година Theme4
Happy New Year Theme5,Честита Нова Година Theme5
Happy New Year Theme6,Честита Нова Година Theme6
Happy New Year Theme7,Честита Нова Година Theme7
Wheel Design 1,Колелото Дизайн 1
Wheel Design 2,Колелото Дизайн 2
Look and Feel,Вид и усещане
General Settings,Основни настройки
Display Settings,Настройки на дисплея
Theme Scheduling,Тема Scheduling
Text Settings,Настройки за текстови
Special bonus unlocked,Специален бонус отключена
