"Something went wrong while generating the coupon code, please try again.","Něco pokazilo při generování kodu, zkuste to znovu."
Schedule has been deleted successfully,Plán byl úspěšně odstraněn
Invalid Data.,Neplatná data.
Add/Edit Schedule,Přidat / Upravit plán
Schedule has been saved successfully.,Plán byl úspěšně uložen.
Email has been sent successfully.,E-mail byl úspěšně odeslán.
"Something went wrong while sending the coupon email, please try again.","Něco pokazilo při odesílání e-mailu kuponu, zkuste to znovu."
Spin and Win,Spin a Win
Knowband,Knowband
Settings saved successfully.,Nastavení úspěšně uloženo.
New Customer,Nový zákazník
No list found. (Verify Credentials),"Žádný seznam nalezen. (Zkontrolujte, zda pověření)"
The Private Klaviyo API Key you have set is invalid.,Private Klaviyo API Key máte set je neplatná.
The Private Klaviyo API key you have set is no longer valid.,API klíč Private Klaviyo máte soubor již není platný.
Unable to verify Klaviyo Private API Key.,Nelze ověřit Klaviyo Soukromá API klíč.
Mobile,"mobilní, pohybliví"
Tablet,Tableta
Desktop,plocha počítače
You have already taken advantage of this offer. Please try another email.,Jste již využilo této nabídky. Zkuste jiný e-mail.
Not your lucky day today. Better Luck Next Time.,Není to tvoje dnes šťastný den. Příště víc štěstí.
Error occurred while subscribing. Please try again later.,zatímco předplacení došlo k chybě. Prosím zkuste to znovu později.
Jan,leden
Feb,února
Mar,Mar
Apr,dubna
May,Smět
Jun,června
Jul,července
Aug,srpnu
Sep,září
Oct,říjen
Nov,listopad
Dec,prosince
None,Žádný
Rose Day,Rose Day
Propose Day,navrhovat den
Chocolate Day,Chocolate Day
Teddy Day,Teddy Day
Promise Day,Promise Day
Hug Day,Den objímání
Kiss Day,kiss den
Valentine\'s Day,Valentýn
Xmas Theme 1,Xmas Theme 1
Xmas Theme 2,Xmas Theme 2
Merry Christmas - Theme 1,Merry Christmas - Téma 1
Merry Christmas - Theme 2,Merry Christmas - Téma 2
Merry Christmas - Theme 3,Merry Christmas - téma 3
Merry Christmas - Theme 4,Merry Christmas - téma 4
Merry Christmas - Theme 5,Merry Christmas - téma 5
Black Friday Theme1,Černý pátek Theme1
Black Friday Theme2,Černý pátek Theme2
Black Friday Theme3,Černý pátek Theme3
Black Friday Theme4,Černý pátek Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Easter Theme1
Easter Theme2,Easter Theme2
Easter Theme3,Easter Theme3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Díky Dát Theme1
Happy New Year Theme1,Šťastný Nový Rok Theme1
Happy New Year Theme2,Šťastný Nový Rok Theme2
Happy New Year Theme3,Šťastný Nový Rok Theme3
Happy New Year Theme4,Šťastný Nový Rok Theme4
Happy New Year Theme5,Šťastný Nový Rok Theme5
Happy New Year Theme6,Šťastný Nový Rok Theme6
Happy New Year Theme7,Šťastný Nový Rok Theme7
Wheel Design 1,Kolo design 1
Wheel Design 2,Kolo design 2
Look and Feel,Look and feel
General Settings,Obecné nastavení
Display Settings,Nastavení obrazovky
Theme Scheduling,téma Scheduling
Text Settings,Nastavení textové
Special bonus unlocked,Speciální bonus odemkl
You have a chance to win a nice big fat discount. Are you ready?,Máte šanci vyhrát pěkný velký tlustý slevu. Jsi připraven?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Můžete točit volantem pouze jednou. Pokud vyhrajete, můžete nárokovat kupón jen 1 den!"
Email Settings,Nastavení e-mailu
Only on wheel,Pouze na kole
Email Only,Email pouze
Email & Wheel,Email & Wheel
Fire,oheň
Aqua,Aqua
Wind,Vítr
Void,prázdno
Earth,Země
Return Statuses,zpáteční Stavy
Coupon Code,kupon Kód
Customer Email,zákazník Email
Country,Země
Device,přístroj
Coupon Used,kupón Použité
No,Ne
Yes,Ano
Coupon Generated On,Kupón Generated On
Statistics,Statistika
Email Marketing,Emailový marketing
User List,Seznam uživatelů
Status,Postavení
Enabled,povoleno
Disabled,invalidní
From Date,od Datum
To Date,K datu
Action,Akce
Slice Settings,Nastavení plátek
10% OFF,10% SLEVA
Not Lucky Today,Není Lucky Dnes
35% OFF,35% OFF
Opps! Sorry,OPPS! Promiňte
15% OFF,15% OFF
Better Luck Next Time,Příště víc štěstí
50% OFF,50% SLEVA
Try Next Time,Zkuste příště
12% OFF,12% OFF
Come Again,Přijít znovu
5% OFF,5% SLEVA
Try Again,Zkus to znovu
First Name,Jméno
Last Name,Příjmení
