"Something went wrong while generating the coupon code, please try again.","Etwas schief gelaufen ist, während der Gutschein-Code zu erzeugen, versuchen Sie es erneut."
Schedule has been deleted successfully,Zeitplan wurde erfolgreich gelöscht
Invalid Data.,Ungültige Daten.
Add/Edit Schedule,Hinzufügen / Zeitplan bearbeiten
Schedule has been saved successfully.,Zeitplan wurde erfolgreich gespeichert.
Email has been sent successfully.,E-Mail wurde erfolgreich gesendet.
"Something went wrong while sending the coupon email, please try again.","Etwas schief gelaufen ist, während den Gutschein E-Mail zu senden, bitte versuchen Sie es erneut."
Spin and Win,Spin and Win
Knowband,Knowband
Settings saved successfully.,Einstellungen erfolgreich gespeichert.
New Customer,Neukunde
No list found. (Verify Credentials),Keine Liste gefunden. (Verify Credentials)
The Private Klaviyo API Key you have set is invalid.,"Der private Klaviyo API-Schlüssel Sie festgelegt haben, ist ungültig."
The Private Klaviyo API key you have set is no longer valid.,"Der private Klaviyo API-Schlüssel Sie Satz haben, ist nicht mehr gültig."
Unable to verify Klaviyo Private API Key.,Unfähig Klaviyo privaten API-Schlüssel zu überprüfen.
Mobile,"Handy, Mobiltelefon"
Tablet,Tablette
Desktop,Desktop
You have already taken advantage of this offer. Please try another email.,Sie haben bereits die Vorteile dieses Angebots genommen. Bitte versuchen Sie einen anderen E-Mail.
Not your lucky day today. Better Luck Next Time.,Nicht Ihr Glückstag heute. Better Luck Next Time.
Error occurred while subscribing. Please try again later.,Fehler beim abonnieren möchte. Bitte versuchen Sie es später noch einmal.
Jan,Jan
Feb,Februar
Mar,Beschädigen
Apr,April
May,Kann
Jun,Juni
Jul,Juli
Aug,August
Sep,September
Oct,Oktober
Nov,November
Dec,Dezember
None,Keiner
Rose Day,Rose Day
Propose Day,vorschlagen Tag
Chocolate Day,Schokoladen-Tag
Teddy Day,Teddy Day
Promise Day,Versprechen Tag
Hug Day,Tag der Umarmung
Kiss Day,Kuss Tag
Valentine\'s Day,Valentinstag
Xmas Theme 1,Weihnachten Theme 1
Xmas Theme 2,Weihnachten Thema 2
Merry Christmas - Theme 1,Frohe Weihnachten - Thema 1
Merry Christmas - Theme 2,Frohe Weihnachten - Thema 2
Merry Christmas - Theme 3,Frohe Weihnachten - Thema 3
Merry Christmas - Theme 4,Frohe Weihnachten - Thema 4
Merry Christmas - Theme 5,Frohe Weihnachten - Thema 5
Black Friday Theme1,Black Friday theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday theme3
Black Friday Theme4,Black Friday theme4
Diwali Theme1,Diwali theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali theme3
Diwali Theme4,Diwali theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Ostern theme1
Easter Theme2,Ostern Theme2
Easter Theme3,Ostern theme3
Halloween Theme1,Halloween theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween theme3
Halloween Theme4,Halloween theme4
Thanks Giving Theme1,Thanks Giving theme1
Happy New Year Theme1,Frohes Neues Jahr theme1
Happy New Year Theme2,Frohes Neues Jahr Theme2
Happy New Year Theme3,Frohes Neues Jahr theme3
Happy New Year Theme4,Frohes Neues Jahr theme4
Happy New Year Theme5,Frohes Neues Jahr Theme5
Happy New Year Theme6,Frohes Neues Jahr Theme6
Happy New Year Theme7,Frohes Neues Jahr Theme7
Wheel Design 1,Rad-Entwurf 1
Wheel Design 2,Rad Design 2
Look and Feel,Look and Feel
General Settings,Allgemeine Einstellungen
Display Settings,Bildschirmeinstellungen
Theme Scheduling,Thema Scheduling
