"Something went wrong while generating the coupon code, please try again.","Produjo un error al generar el código de cupón, por favor intente de nuevo."
Schedule has been deleted successfully,Horario se ha eliminado correctamente
Invalid Data.,Datos inválidos.
Add/Edit Schedule,Añadir / Editar programación
Schedule has been saved successfully.,Horario ha sido guardado con éxito.
Email has been sent successfully.,El correo electrónico ha sido enviado con éxito.
"Something went wrong while sending the coupon email, please try again.","Produjo un error al enviar el correo electrónico de cupón, por favor intente de nuevo."
Spin and Win,Gira y gana
Knowband,Knowband
Settings saved successfully.,La configuración se guardó con éxito.
New Customer,Nuevo cliente
No list found. (Verify Credentials),No se encontró lista. (Verificar las credenciales)
The Private Klaviyo API Key you have set is invalid.,El Klaviyo API clave privada tiene SET no es válido.
The Private Klaviyo API key you have set is no longer valid.,La clave de API privada Klaviyo os han puesto ya no es válida.
Unable to verify Klaviyo Private API Key.,No es posible verificar Klaviyo privada clave de API.
Mobile,Móvil
Tablet,Tableta
Desktop,Escritorio
You have already taken advantage of this offer. Please try another email.,"Usted ya ha tomado ventaja de esta oferta. Por favor, intente otra correo electrónico."
Not your lucky day today. Better Luck Next Time.,No es su día de suerte hoy. Mejor suerte la próxima vez.
Error occurred while subscribing. Please try again later.,"Un error ocurrió al suscribirse. Por favor, inténtelo de nuevo más tarde."
Jan,ene
Feb,feb
Mar,mar
Apr,abr
May,Mayo
Jun,jun
Jul,jul
Aug,ago
Sep,sep
Oct,oct
Nov,nov
Dec,dic
None,None
Rose Day,Día Rose
Propose Day,proponer Día
Chocolate Day,Día del chocolate
Teddy Day,Día de peluche
Promise Day,Día de promesa
Hug Day,Día del Abrazo
Kiss Day,Día del beso
Valentine\'s Day,Día de San Valentín
Xmas Theme 1,Tema de Navidad 1
Xmas Theme 2,Tema 2 de Navidad
Merry Christmas - Theme 1,Feliz Navidad - Tema 1
Merry Christmas - Theme 2,Feliz Navidad - Tema 2
Merry Christmas - Theme 3,Feliz Navidad - Tema 3
Merry Christmas - Theme 4,Feliz Navidad - Tema 4
Merry Christmas - Theme 5,Feliz Navidad - Tema 5
Black Friday Theme1,Viernes Negro Theme1
Black Friday Theme2,Viernes Negro Theme2
Black Friday Theme3,Viernes Negro Tema3
Black Friday Theme4,Viernes Negro Theme4
Diwali Theme1,Día de la Independencia Theme1
Diwali Theme2,Día de la Independencia Theme2
Diwali Theme3,Día de la Independencia Tema3
Diwali Theme4,Día de la Independencia Theme4
Diwali Theme5,Día de la Independencia Theme5
Easter Theme1,Theme1 Pascua
Easter Theme2,Theme2 Pascua
Easter Theme3,Tema3 Pascua
Halloween Theme1,Theme1 de Halloween
Halloween Theme2,Theme2 de Halloween
Halloween Theme3,Tema3 de Halloween
Halloween Theme4,Theme4 de Halloween
Thanks Giving Theme1,Acción de Gracias Theme1
Happy New Year Theme1,Feliz Año Nuevo Theme1
Happy New Year Theme2,Feliz Año Nuevo Theme2
Happy New Year Theme3,Feliz Año Nuevo Tema3
Happy New Year Theme4,Feliz Año Nuevo Theme4
Happy New Year Theme5,Feliz Año Nuevo Theme5
Happy New Year Theme6,Feliz Año Nuevo Theme6
Happy New Year Theme7,Feliz Año Nuevo Theme7
Wheel Design 1,Rueda Diseño 1
Wheel Design 2,Rueda Diseño 2
Look and Feel,Mira y siente
General Settings,Configuración general
Display Settings,Configuración de pantalla
Theme Scheduling,programación tema
Text Settings,Ajustes de texto
Special bonus unlocked,bono especial desbloqueado
You have a chance to win a nice big fat discount. Are you ready?,Usted tiene la oportunidad de ganar un buen descuento grande de grasa. ¿Estás listo?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Puede girar la rueda de una sola vez. Si gana, puede reclamar su cupón de sólo 1 día!"
Email Settings,Ajustes del correo electrónico
Only on wheel,Sólo en la rueda
Email Only,Sólo un correo electrónico
Email & Wheel,Correo electrónico y Rueda
Fire,Fuego
Aqua,Agua
Wind,Viento
Void,Vacío
Earth,Tierra
Return Statuses,Los estados de retorno
Coupon Code,Código promocional
Customer Email,Correo electrónico del cliente
Country,País
Device,Dispositivo
Coupon Used,cupón Usado
No,No
Yes,si
Coupon Generated On,Cupón Generado en
Statistics,Estadísticas
Email Marketing,Correo de propaganda
User List,Lista de usuarios
Status,Estado
Enabled,Activado
Disabled,Discapacitado
From Date,Partir de la fecha
To Date,Hasta la fecha
Action,Acción
Slice Settings,Ajustes rebanada
10% OFF,10% DE DESCUENTO
Not Lucky Today,No es suerte hoy
35% OFF,35% OFF
Opps! Sorry,Opps! Lo siento
15% OFF,15% DE DESCUENTO
Better Luck Next Time,Mejor suerte la próxima vez
