"Something went wrong while generating the coupon code, please try again.","Jokin meni vikaan luotaessa kuponkikoodi, yritä uudelleen."
Schedule has been deleted successfully,Aikataulu on poistettu onnistuneesti
Invalid Data.,Virheellinen tieto.
Add/Edit Schedule,Lisää / Muokkaa aikataulua
Schedule has been saved successfully.,Aikataulu on tallennettu.
Email has been sent successfully.,Sähköposti on lähetetty onnistuneesti.
"Something went wrong while sending the coupon email, please try again.","Jokin meni vikaan lähettämällä kupongin sähköpostin, yritä uudelleen."
Spin and Win,Spin ja Win
Knowband,Knowband
Settings saved successfully.,Asetukset tallennettu.
New Customer,Uusi asiakas
No list found. (Verify Credentials),Ei lista löytynyt. (Vahvista käyttäjätiedot)
The Private Klaviyo API Key you have set is invalid.,Private Klaviyo sovellusliittymäavaimen olet asettanut on virheellinen.
The Private Klaviyo API key you have set is no longer valid.,Private Klaviyo sovellusliittymäavain olet määrittänyt ei ole enää voimassa.
Unable to verify Klaviyo Private API Key.,Voineet vahvistaa Klaviyo Yksityinen sovellusliittymäavain.
Mobile,mobile
Tablet,Tabletti
Desktop,pöytä-
You have already taken advantage of this offer. Please try another email.,Olet jo käyttänyt tätä tilaisuutta hyväkseen. Kokeile toista sähköpostiosoite.
Not your lucky day today. Better Luck Next Time.,Ei onnen päivä tänään. Parempi onni ensi kerralla.
Error occurred while subscribing. Please try again later.,Virhe tilaamalla. Yritä uudelleen myöhemmin.
Jan,tammikuu
Feb,helmikuu
Mar,maaliskuu
Apr,huhtikuu
May,saattaa
Jun,kesäkuu
Jul,heinäkuu
Aug,elokuu
Sep,syyskuu
Oct,lokakuu
Nov,marraskuu
Dec,joulukuu
None,Ei mitään
Rose Day,Ruusuvoide
Propose Day,ehdottaa Päivä
Chocolate Day,suklaa Päivä
Teddy Day,Teddy Päivä
Promise Day,Promise Päivä
Hug Day,Halauspäivä
Kiss Day,suudella päivä
Valentine\'s Day,Ystävänpäivä
Xmas Theme 1,Xmas teema 1
Xmas Theme 2,Xmas Teema 2
Merry Christmas - Theme 1,Merry Christmas - Teema 1
Merry Christmas - Theme 2,Merry Christmas - Teema 2
Merry Christmas - Theme 3,Merry Christmas - Teema 3
Merry Christmas - Theme 4,Merry Christmas - Teema 4
Merry Christmas - Theme 5,Merry Christmas - Teema 5
Black Friday Theme1,Black Friday THEME1
Black Friday Theme2,Black Friday theme2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,diwali THEME1
Diwali Theme2,diwali theme2
Diwali Theme3,diwali Theme3
Diwali Theme4,diwali Theme4
Diwali Theme5,diwali Theme5
Easter Theme1,Pääsiäinen THEME1
Easter Theme2,Pääsiäinen theme2
Easter Theme3,Pääsiäinen Theme3
Halloween Theme1,Halloween THEME1
Halloween Theme2,Halloween theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Kiitospäivän THEME1
Happy New Year Theme1,Hyvää uutta vuotta THEME1
Happy New Year Theme2,Hyvää uutta vuotta theme2
Happy New Year Theme3,Hyvää uutta vuotta Theme3
Happy New Year Theme4,Hyvää uutta vuotta Theme4
Happy New Year Theme5,Hyvää uutta vuotta Theme5
Happy New Year Theme6,Hyvää uutta vuotta Theme6
Happy New Year Theme7,Hyvää uutta vuotta Theme7
Wheel Design 1,Pyörän suunnittelu 1
Wheel Design 2,Pyörän suunnittelu 2
Look and Feel,Katso ja tunne
General Settings,Yleiset asetukset
Display Settings,Näyttöasetukset
Theme Scheduling,teema ajoitus
Text Settings,teksti Asetukset
Special bonus unlocked,Erikoisbonuksista lukitsematon
You have a chance to win a nice big fat discount. Are you ready?,Sinulla on mahdollisuus voittaa mukava iso rasvaa alennus. Oletko valmis?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Voit pyöräyttää pyörää vain kerran. Jos voitat, voit lunastaa kupongin 1 päivän vain!"
Email Settings,Sähköposti asetukset
Only on wheel,Vain pyörän
Email Only,vain sähköposti
Email & Wheel,Sähköposti ja Wheel
Fire,Antaa potkut
Aqua,aqua
Wind,Tuuli
Void,mitätön
Earth,maa
Return Statuses,Return Tilat
Coupon Code,Kuponkikoodi
Customer Email,asiakkaan sähköposti
Country,Maa
Device,Laite
Coupon Used,kuponki Käytetty
No,Ei
Yes,Joo
Coupon Generated On,Kuponki Generated On
Statistics,tilasto
Email Marketing,email Marketing
User List,Käyttäjäluettelon
Status,Tila
Enabled,käytössä
Disabled,Liikuntarajoitteinen
From Date,Päivämäärästä
To Date,Tähän mennessä
Action,Toiminta
Slice Settings,siivu Asetukset
10% OFF,10% ALENNUS
Not Lucky Today,Ei Lucky Tänään
35% OFF,35% OFF
Opps! Sorry,Opps! anteeksi
15% OFF,15% OFF
Better Luck Next Time,Parempi onni ensi kerralla
50% OFF,50% OFF
Try Next Time,Kokeile seuraavalla kerralla
12% OFF,12% OFF
Come Again,Tule uudestaan
5% OFF,5% OFF
Try Again,Yritä uudelleen
First Name,Etunimi
Last Name,Sukunimi
Email,Sähköposti
Created Date,Luontipäiväys
CSV,CSV
Edit,Muokata
Delete,Poistaa
Save Schedule,Tallenna aikataulu
Back,Takaisin
Save Settings,Tallenna asetukset
Email cannot be left blank,Sähköposti ei voi jättää tyhjäksi
