"Something went wrong while generating the coupon code, please try again.","Quelque chose a mal tourné tout en générant le code de coupon, s'il vous plaît essayer à nouveau."
Schedule has been deleted successfully,Annexe a été supprimé
Invalid Data.,Données invalides.
Add/Edit Schedule,Ajouter / Modifier la planification
Schedule has been saved successfully.,Calendrier a été enregistré avec succès.
Email has been sent successfully.,Le courriel a été envoyé avec succès.
"Something went wrong while sending the coupon email, please try again.","Quelque chose a mal tourné lors de l'envoi de l'e-mail coupon, s'il vous plaît essayer à nouveau."
Spin and Win,Spin et Win
Knowband,Knowband
Settings saved successfully.,Paramètres sauvegardés avec succès.
New Customer,Nouveau client
No list found. (Verify Credentials),Aucune liste trouvée. (Vérification des pouvoirs)
The Private Klaviyo API Key you have set is invalid.,L'API Private Klaviyo Key vous avez défini est invalide.
The Private Klaviyo API key you have set is no longer valid.,La clé API privée Klaviyo que vous avez défini n'est plus valide.
Unable to verify Klaviyo Private API Key.,Impossible de vérifier Klaviyo API clé privée.
Mobile,Mobile
Tablet,Tablette
Desktop,bureau
You have already taken advantage of this offer. Please try another email.,Vous avez déjà profité de cette offre. S'il vous plaît essayer un autre e-mail.
Not your lucky day today. Better Luck Next Time.,Pas votre jour de chance aujourd'hui. Plus de chance la prochaine fois.
Error occurred while subscribing. Please try again later.,Une erreur est survenue tout en souscrivant. Veuillez réessayer plus tard.
Jan,Jan
Feb,fév
Mar,Mar
Apr,avr
May,Peut
Jun,juin
Jul,juil
Aug,août
Sep,SEP
Oct,oct
Nov,nov
Dec,déc
None,Aucun
Rose Day,jour Rose
Propose Day,proposer jour
Chocolate Day,Jour de chocolat
Teddy Day,jour Teddy
Promise Day,Day Promise
Hug Day,Jour des câlins
Kiss Day,baiser jour
Valentine\'s Day,La Saint-Valentin
Xmas Theme 1,Noël Thème 1
Xmas Theme 2,Thème de Noël 2
Merry Christmas - Theme 1,Joyeux Noël - Thème 1
Merry Christmas - Theme 2,Joyeux Noël - Thème 2
Merry Christmas - Theme 3,Joyeux Noël - Thème 3
Merry Christmas - Theme 4,Joyeux Noël - Thème 4
Merry Christmas - Theme 5,Joyeux Noël - Thème 5
Black Friday Theme1,Black Friday Theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday Thème 3
Black Friday Theme4,Black Friday theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Thème 3
Diwali Theme4,Diwali theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Pâques Theme1
Easter Theme2,Pâques Theme2
Easter Theme3,Pâques Thème 3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Thème 3
Halloween Theme4,Halloween theme4
Thanks Giving Theme1,Merci Giving Theme1
Happy New Year Theme1,Bonne année Theme1
Happy New Year Theme2,Bonne année Theme2
Happy New Year Theme3,Bonne année Thème 3
Happy New Year Theme4,Bonne année theme4
Happy New Year Theme5,Bonne année Theme5
Happy New Year Theme6,Bonne année Theme6
Happy New Year Theme7,Bonne année Theme7
Wheel Design 1,Roue Design 1
Wheel Design 2,Roue Design 2
Look and Feel,Regarde et ressent
General Settings,réglages généraux
Display Settings,Paramètres d'affichage
