"Something went wrong while generating the coupon code, please try again.","Qualcosa è andato storto durante la generazione del codice coupon, riprova."
Schedule has been deleted successfully,Pianificazione è stata cancellata con successo
Invalid Data.,Dati non validi.
Add/Edit Schedule,Aggiungi / Modifica pianificazione
Schedule has been saved successfully.,Programma è stato salvato con successo.
Email has been sent successfully.,E-mail è stata inviata con successo.
"Something went wrong while sending the coupon email, please try again.",Qualcosa è andato storto durante l'invio della mail coupon riprovare.
Spin and Win,Spin e Win
Knowband,Knowband
Settings saved successfully.,Configurazione salvata con successo.
New Customer,Nuovo cliente
No list found. (Verify Credentials),Nessuna lista trovata. (Verificare le credenziali)
The Private Klaviyo API Key you have set is invalid.,The Private Klaviyo API Key avete impostato è valido.
The Private Klaviyo API key you have set is no longer valid.,La chiave API privato Klaviyo avete impostato non è più valido.
Unable to verify Klaviyo Private API Key.,Impossibile verificare Klaviyo privato API Key.
Mobile,Mobile
Tablet,Tavoletta
Desktop,Desktop
You have already taken advantage of this offer. Please try another email.,Hai già approfittato di questa offerta. Si prega di provare con un altro e-mail.
Not your lucky day today. Better Luck Next Time.,Non è il suo giorno fortunato oggi. La prossima volta sarai più fortunato.
Error occurred while subscribing. Please try again later.,Errore durante la sottoscrizione. Per favore riprova più tardi.
Jan,Jan
Feb,febbraio
Mar,mar
Apr,aprile
May,Maggio
Jun,giugno
Jul,luglio
Aug,agosto
Sep,settembre
Oct,ottobre
Nov,novembre
Dec,dicembre
None,Nessuna
Rose Day,Rose Day
Propose Day,proporre Giorno
Chocolate Day,Giorno di cioccolato
Teddy Day,Teddy Giorno
Promise Day,promessa Giorno
Hug Day,Giorno dell'abbraccio
Kiss Day,Bacio Giorno
Valentine\'s Day,San Valentino
Xmas Theme 1,Tema natale 1
Xmas Theme 2,Tema natale 2
Merry Christmas - Theme 1,Merry Christmas - Tema 1
Merry Christmas - Theme 2,Merry Christmas - Tema 2
Merry Christmas - Theme 3,Merry Christmas - Tema 3
Merry Christmas - Theme 4,Merry Christmas - Tema 4
Merry Christmas - Theme 5,Merry Christmas - Tema 5
Black Friday Theme1,Venerdì nero Theme1
Black Friday Theme2,Venerdì nero theme2
Black Friday Theme3,Venerdì nero Theme3
Black Friday Theme4,Venerdì nero Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Theme1 di Pasqua
Easter Theme2,theme2 di Pasqua
Easter Theme3,Theme3 di Pasqua
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Thanks Giving Theme1
Happy New Year Theme1,Felice Anno Nuovo Theme1
Happy New Year Theme2,Felice Anno Nuovo theme2
Happy New Year Theme3,Felice Anno Nuovo Theme3
Happy New Year Theme4,Felice Anno Nuovo Theme4
Happy New Year Theme5,Felice Anno Nuovo Theme5
Happy New Year Theme6,Felice Anno Nuovo Theme6
Happy New Year Theme7,Felice Anno Nuovo Theme7
Wheel Design 1,Disegno della rotella 1
Wheel Design 2,Disegno della rotella 2
Look and Feel,Guardare e sentire
General Settings,impostazioni generali
Display Settings,Impostazioni di visualizzazione
Theme Scheduling,Pianificazione a tema
Text Settings,Impostazioni di testo
Special bonus unlocked,Bonus speciale sbloccato
You have a chance to win a nice big fat discount. Are you ready?,Hai la possibilità di vincere un bello sconto grosso grasso. Siete pronti?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","È possibile girare la ruota una sola volta. Se si vince, si può richiedere il coupon per 1 solo giorno!"
Email Settings,impostazioni dell 'email
Only on wheel,Solo su ruote
Email Only,Solo Email
Email & Wheel,Email & Wheel
Fire,Fuoco
Aqua,acqua
Wind,Vento
Void,vuoto
Earth,Terra
Return Statuses,Gli stati return
Coupon Code,codice coupon
Customer Email,clienti e-mail
Country,Nazione
Device,Dispositivo
Coupon Used,Coupon Usato
No,No
Yes,sì
Coupon Generated On,Coupon generato su
Statistics,statistica
Email Marketing,Marketing via email
User List,lista degli utenti
Status,Stato
Enabled,Abilitato
Disabled,Disabilitato
From Date,dalla Data
To Date,Ad oggi
Action,Azione
Slice Settings,Impostazioni Slice
10% OFF,10% DI SCONTO
Not Lucky Today,Non fortunato oggi
35% OFF,35% OFF
Opps! Sorry,Opps! scusate
15% OFF,15% di sconto
Better Luck Next Time,La prossima volta sarai più fortunato
50% OFF,SCONTO DEL 50
Try Next Time,Prova Next Time
12% OFF,12% OFF
Come Again,Vieni di nuovo
5% OFF,5% OFF
Try Again,Riprova
First Name,Nome di battesimo
Last Name,Cognome
Email,E-mail
Created Date,Data di Creazione
CSV,CSV
Edit,modificare
Delete,Elimina
Save Schedule,Salva Schedule
Back,Indietro
Save Settings,Salva le impostazioni
Email cannot be left blank,E-mail non può essere lasciato vuoto
Not a valid email,Non è un indirizzo email valido
a discount,uno sconto
Code copied.,Codice copiato.
First name cannot be left blank,Primo nome non può essere lasciato vuoto
Last name cannot be left blank,Ultimo nome non può essere lasciato vuoto
Hurrah! You've got,Evviva! Hai
 discount. Lucky day!,sconto. Giorno fortunato!
The coupon code has been sent to you through the email.,Il codice promozionale è stato inviato a voi attraverso l'e-mail.
Better luck next time!,La prossima volta sarai più fortunato!
Don't forget to use the discount code at checkout!,Non dimenticare di usare il codice sconto alla cassa!
Enter you email,Entrili email
Try your luck,Tenta la fortuna
Next Time,La prossima volta
"No, I do not feel lucky","No, non mi sento fortunato"
Continue,Continua
Enable Theme Scheduling,Abilita programmazione a tema
Add New Schedule,Aggiungi nuova pianificazione
Select number of slices,Selezionare il numero di fette
12 Slices,12 Slices
8 Slices,8 fette
6 Slices,6 fette
Select the number of slices to show.,Selezionare il numero di fette di mostrare.
Slice Label,Fetta Label
Coupon Type,Coupon
Coupon Value,Cedola Valore
Gravity (%),Gravity (%)
Fixed,Fisso
Percentage,Percentuale
Free Shipping,Spedizione gratuita
Theme,Tema
Theme Peview,Peview Tema
Wheel Design,design delle ruote
Wheel Peview,Wheel Peview
Wheel Color,Color Wheel
Change color of the wheel.,Cambiare il colore della ruota.
Wheel Text Color,Testo Color Wheel
Change text color of the wheel.,Cambiare il colore del testo della ruota.
Wheel Background Color,Background Color Wheel
Change background color of wheel.,Cambiare il colore di sfondo della ruota.
Font Color,Colore del carattere
Change font color of text on wheel.,Cambiare il colore del carattere del testo sulla ruota.
Button Background Color,Pulsante Colore di sfondo
Change background color of spin button.,Cambiare il colore di sfondo del pulsante di selezione.
`Try your luck` Button Text Color,`Prova la tua Pulsante luck` Colore testo
Change font color of the front `Try your luck` button.,Cambiare il colore del carattere del frontale `Prova il pulsante luck`.
"No, I do not feel lucky text color","No, non mi sento fortunato colore del testo"
"Change font color of No, I do not feel lucky text.","Cambiare il colore del carattere di No, non mi sento di testo fortunato."
Schedule Status,Programma di stato
Select Date,Selezionare Data
Field cannot be empty.,Campo non può essere vuoto.
You can enter only numbers.,È possibile inserire solo numeri.
Number should be greater than 0.,Il numero deve essere maggiore di 0.
Field cannot be greater than {#} characters.,Il campo non può essere maggiore di {#} caratteri.
Field cannot be less than {#} character(s).,Il campo non può essere inferiore a {} # carattere (s).
Please enter Email.,Inserisci e-mail.
Please enter a valid Email.,Inserisci una email valida.
Invalid date format.,Formato data non valido.
Number is not in the valid range. It should be between {1} and {100},Il numero non è nel range valido. Dovrebbe essere tra {1} e {100}
Field should be numeric.,Campo deve essere numerico.
Field can have only upto two decimal values.,Il campo può avere solo fino a due valori decimali.
Email cannot be greater than {#} characters.,E-mail non può essere superiore a {#} caratteri.
Zip should not have special characters.,Zip non dovrebbe avere i caratteri speciali.
Percentage should be in number.,Percentuale dovrebbe essere in numero.
Percentage should be between 0 and 100.,Percentuale dovrebbe essere tra 0 e 100.
Size cannot be greater than {#} characters.,La dimensione non può essere superiore a {#} caratteri.
Color could not be greater than {#} characters.,Il colore non poteva essere superiore a {#} caratteri.
Color is not valid.,Il colore non è valido.
Special characters are not allowed.,I caratteri speciali non sono ammessi.
Script tags are not allowed.,tag di script non sono ammessi.
Style tags are not allowed.,tag di stile non sono ammessi.
Iframe tags are not allowed.,tag iframe non sono ammessi.
Uploaded file is not an image.,Il file caricato non è un'immagine.
Uploaded file size must be less than #d.,dimensione del file caricato deve essere inferiore a #d.
