"Something went wrong while generating the coupon code, please try again.","Coś poszło nie tak podczas generowania kodu kuponu, spróbuj ponownie."
Schedule has been deleted successfully,Harmonogram został pomyślnie usunięty
Invalid Data.,Nieprawidłowe dane.
Add/Edit Schedule,Dodaj / Edytuj harmonogram
Schedule has been saved successfully.,Harmonogram został zapisany pomyślnie.
Email has been sent successfully.,E-mail został wysłany.
"Something went wrong while sending the coupon email, please try again.","Coś poszło nie tak podczas wysyłania wiadomości e-mail kupon, spróbuj ponownie."
Spin and Win,Zakręć i wygraj
Knowband,Knowband
Settings saved successfully.,Ustawienia zostały zapisane.
New Customer,Nowy klient
No list found. (Verify Credentials),Nie znaleziono list. (Sprawdzenia uprawnień)
The Private Klaviyo API Key you have set is invalid.,Prywatny Klaviyo Klucz API masz zestaw jest nieprawidłowy.
The Private Klaviyo API key you have set is no longer valid.,Klucz API Prywatna Klaviyo masz zestaw nie jest już ważny.
Unable to verify Klaviyo Private API Key.,Nie można zweryfikować Klaviyo Prywatna Klucz API.
Mobile,mobilny
Tablet,Tablet
Desktop,Pulpit
You have already taken advantage of this offer. Please try another email.,Już skorzystało z tej oferty. Spróbuj kolejnego maila.
Not your lucky day today. Better Luck Next Time.,Nie twój szczęśliwy dzień dzisiaj. Więcej szczęścia następnym razem.
Error occurred while subscribing. Please try again later.,Błąd podczas subskrypcji. Spróbuj ponownie później.
Jan,Jan
Feb,lutego
Mar,Zniszczyć
Apr,kwiecień
May,Może
Jun,czerwca
Jul,lipca
Aug,sierpnia
Sep,września
Oct,październik
Nov,listopada
Dec,grudzień
None,Żaden
Rose Day,Rose Day
Propose Day,zaproponować Day
Chocolate Day,Dzień czekolady
Teddy Day,Teddy Day
Promise Day,Dzień obietnica
Hug Day,Dzień Przytulania
Kiss Day,pocałuj Day
Valentine\'s Day,Walentynki
Xmas Theme 1,Xmas Motyw 1
Xmas Theme 2,Xmas Motyw 2
Merry Christmas - Theme 1,Merry Christmas - Temat 1
Merry Christmas - Theme 2,Wesołych Świąt - Temat 2
Merry Christmas - Theme 3,Merry Christmas - Temat 3
Merry Christmas - Theme 4,Merry Christmas - Motyw 4
Merry Christmas - Theme 5,Merry Christmas - Motyw 5
Black Friday Theme1,Black Friday Theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Wielkanoc Theme1
Easter Theme2,Wielkanoc Theme2
Easter Theme3,Wielkanoc Theme3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Dzięki Giving Theme1
Happy New Year Theme1,Happy New Year Theme1
Happy New Year Theme2,Happy New Year Theme2
Happy New Year Theme3,Happy New Year Theme3
Happy New Year Theme4,Happy New Year Theme4
Happy New Year Theme5,Happy New Year Theme5
Happy New Year Theme6,Happy New Year Theme6
Happy New Year Theme7,Happy New Year Theme7
Wheel Design 1,Projektowanie koło 1
Wheel Design 2,Projektowanie koło 2
Look and Feel,Widzieć i czuć
General Settings,Ustawienia główne
Display Settings,Ustawienia wyświetlania
Theme Scheduling,motyw Scheduling
Text Settings,Ustawienia tekstowe
Special bonus unlocked,Specjalny bonus odblokowany
You have a chance to win a nice big fat discount. Are you ready?,Masz szansę wygrać piękny duży rabat tłuszczu. Jesteś gotowy?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Możesz zakręcić kołem tylko raz. Jeśli wygrasz, możesz ubiegać się o kupon tylko na 1 dzień!"
Email Settings,Ustawienia poczty e-mail
Only on wheel,Tylko na kole
Email Only,Powiadom Tylko
Email & Wheel,E-mail i kół
Fire,Ogień
Aqua,wodny
Wind,Wiatr
Void,Unieważnić
Earth,Ziemia
Return Statuses,Powrotny Statusy
Coupon Code,Kod kuponu
Customer Email,Email klienta
Country,Kraj
Device,Urządzenie
Coupon Used,Używane kupon
No,Nie
Yes,tak
Coupon Generated On,Kupon Wygenerowano
Statistics,Statystyka
Email Marketing,E-mail marketing
User List,Lista użytkowników
Status,Status
Enabled,włączone
Disabled,Wyłączone
From Date,Od daty
To Date,Spotykać się z kimś
Action,Akcja
Slice Settings,Ustawienia slice
10% OFF,10% ZNIŻKI
Not Lucky Today,Na szczęście dziś nie
35% OFF,35% Z
Opps! Sorry,Okazje! Przepraszam
15% OFF,15% Z
Better Luck Next Time,Więcej szczęścia następnym razem
50% OFF,50% ZNIŻKI
Try Next Time,Spróbować następnym razem
12% OFF,12% Z
Come Again,Wracać
5% OFF,5% OFF
Try Again,Spróbuj ponownie
First Name,Imię
Last Name,Nazwisko
Email,E-mail
Created Date,stworz Date
CSV,CSV
Edit,Edytować
Delete,Kasować
Save Schedule,Zapisz Schedule
Back,Plecy
Save Settings,Zapisz ustawienia
Email cannot be left blank,E-mail nie może być puste
Not a valid email,Nieprawidłowy e-mail
a discount,zniżka
Code copied.,Kod kopiowane.
First name cannot be left blank,Imię nie może być puste
Last name cannot be left blank,Nazwisko nie może być puste
Hurrah! You've got,Hurra! Masz
 discount. Lucky day!,zniżka. Szczęśliwy dzień!
The coupon code has been sent to you through the email.,Kod kuponu został wysłany za pośrednictwem poczty elektronicznej.
Better luck next time!,Więcej szczęścia następnym razem!
Don't forget to use the discount code at checkout!,Nie zapomnij użyć kodu rabatowego przy składaniu zamówienia!
Enter you email,Wpisz swój e-mail
Try your luck,Spróbuj szczęścia
Next Time,Następnym razem
"No, I do not feel lucky","Nie, nie czuję się szczęśliwy"
Continue,Kontyntynuj
Enable Theme Scheduling,Włącz Theme Scheduling
Add New Schedule,Dodaj nowy harmonogram
Select number of slices,Wybierz liczbę plasterków
12 Slices,12 Slices
8 Slices,8 plastrów
6 Slices,6 kromek
Select the number of slices to show.,"Wybierz liczbę plasterków, aby pokazać."
Slice Label,Kawałek Label
Coupon Type,kupon Rodzaj
Coupon Value,Wartość kuponu
Gravity (%),Ciężar właściwy (%)
Fixed,Naprawiony
Percentage,Odsetek
Free Shipping,Darmowa dostawa
Theme,Motyw
Theme Peview,motyw Peview
Wheel Design,Projekt koła
Wheel Peview,koło Peview
Wheel Color,Color Wheel
Change color of the wheel.,Zmiana koloru z kierownicą.
Wheel Text Color,Tekst Koło kolorów
Change text color of the wheel.,Zmień kolor tekstu koła.
Wheel Background Color,Tło koło kolorów
Change background color of wheel.,Zmień kolor tła koło.
Font Color,Kolor czcionki
Change font color of text on wheel.,Zmień kolor czcionki tekstu na kole.
Button Background Color,Przycisk Kolor tła
Change background color of spin button.,Zmień kolor tła przycisku wirowania.
`Try your luck` Button Text Color,`Spróbuj luck` przycisk TEXT Kolor
Change font color of the front `Try your luck` button.,Zmiana koloru czcionki z przodu `Spróbuj luck` przycisk.
"No, I do not feel lucky text color","Nie, nie czuję się szczęśliwy kolor tekstu"
"Change font color of No, I do not feel lucky text.","Zmień kolor czcionki Nie, ja nie czuję tekst szczęście."
Schedule Status,harmonogram status
Select Date,Wybierz datę
Field cannot be empty.,Pole nie może być puste.
You can enter only numbers.,Można wprowadzić tylko cyfry.
Number should be greater than 0.,Liczba powinna być większa niż 0.
Field cannot be greater than {#} characters.,Pole nie może być większa niż {#} znaków.
Field cannot be less than {#} character(s).,Pole nie może być mniejsza niż {#} znaku (ów).
Please enter Email.,Proszę podać e-mail.
Please enter a valid Email.,Proszę podać poprawny adres e-mail.
Invalid date format.,Zły format daty.
Number is not in the valid range. It should be between {1} and {100},Liczba nie jest w poprawnym zakresie. Powinien on wynosić między {1} i {100}
Field should be numeric.,Pole powinno być numeryczne.
Field can have only upto two decimal values.,Pole może mieć tylko do połowy dwie wartości dziesiętnych.
Email cannot be greater than {#} characters.,E-mail nie może być większa niż {#} znaków.
Zip should not have special characters.,Zip nie powinny mieć znaki specjalne.
Percentage should be in number.,Procent powinien być numerem.
Percentage should be between 0 and 100.,Procent powinna wynosić między 0 a 100.
Size cannot be greater than {#} characters.,Rozmiar nie może być większa niż {#} znaków.
Color could not be greater than {#} characters.,Kolor nie może być większa niż {#} znaków.
Color is not valid.,Kolor nie jest ważny.
Special characters are not allowed.,Znaki specjalne nie są dozwolone.
Script tags are not allowed.,tagi Script nie są dozwolone.
Style tags are not allowed.,Styl tagi nie są dozwolone.
Iframe tags are not allowed.,Tagi iframe nie są dozwolone.
Uploaded file is not an image.,Przesłany plik nie jest obrazem.
Uploaded file size must be less than #d.,Przesłano rozmiar pliku musi być mniejsza niż #D.
Field should not contain HTML tags.,Pole nie może zawierać znaczników HTML.
You can enter only positive numbers.,Można podać tylko liczby dodatnie.
`From Date` should be smaller than `To Date`,`From dzień spełnienia wymogu powinna być mniejsza niż` to dzień spełnienia wymogu
`From Date` already present in a slot.,`From dzień spełnienia wymogu już obecne w gnieździe.
`To Date` already present in a slot.,`Aby dzień spełnienia wymogu już obecny w gnieździe.
Coupon Display Options,Kupon Opcje wyświetlania
Email Subject,Temat emaila
Email Template,Szablon e-mail
Email Content,email Content
Test Email,Test e-mail
Send Email,Wysłać email
Enable the Extension,Włączyć rozszerzenie
Show pull-out tab,Pokaż kartę wyciąganej
Allow customer to hide/show popup,"Pozwalają klientowi, aby ukryć / pokazać okienko"
Upload pull-out tab image,Prześlij wyciąganą zakładka obraz
Only .png or .jpg file format accepted. File size should not be more than 2 MB.,Tylko .png lub format pliku .jpg akceptowane. Wielkość pliku nie powinna być większa niż 2 MB.
Display Logo,wyświetlacz Logo
Upload Logo,Prześlij Logo
Remove logo,Usunąć logo
Email Recheck,Powiadom Sprawdź ponownie
Allow customer to provide coupon code more than one time.,Pozwalają klientowi dostarczyć kupon więcej niż jeden raz.
Enable Wheel Sound,Włączanie dźwięku kółka
Allow sound on rotating the wheel.,Pozostawić na dźwięk obracanie koła.
Show Fireworks,Pokaż Fireworks
Show fireworks after a customer wins.,Pokaż fajerwerki po wygranych klientów.
Show Customer Name,Pokaż Nazwa klienta
Show First Name,Pokaż Imię
Show Last Name,Pokaż Nazwisko
Show Both,Pokaż Zarówno
Show None,Pokaż None
Show customer name on the front end,Pokaż nazwę klienta na przednim końcu
Require Customer Name,Wymagać nazwa klienta
Require First Name,Wymagają Imię
Require Last Name,Wymagają Nazwisko
Require Both,Oba wymagają
Require None,wymagają None
Require customer name on the front end,Wymagać nazwę klienta na przednim końcu
Wheel Display Interval,Wyświetlacz koło Interval
Days,Dni
Enter the display interval (in days) after which pop will show again (if not used).,"Wprowadź czas wyświetlania (w dniach), po którym pop ponownie pokaże (jeśli nie jest używany)."
Show Progress Meter,Show Progress Meter
Progress Percentage,Procentowy postęp
Enter the percentage of the progress meter.,Wprowadź procent miernik postępu.
Progress Text,Progress Tekst
Enter the Text for the progress meter.,Wprowadź tekst paska postępu.
Custom CSS,niestandardowe CSS
Add custom CSS code that you want to be executed on the front end,"Dodaj własny kod CSS, który chcesz być wykonywane na przednim końcu"
Custom JS,niestandardowe JS
Add custom JS code that you want to be executed on the front end,"Dodaj niestandardowy kod JS, że chcesz być wykonywane na przednim końcu"
Enable Mailchimp,Włącz MailChimp
Mailchimp Api Key,MailChimp Klucz API
Mailchimp List,Lista MailChimp
Select List,Wybierz Lista
Enable Klaviyo,Włącz Klaviyo
Klaviyo Api Key,Klaviyo Klucz API
Klaviyo List,Klaviyo Lista
Enable Constant Contact,Umożliwiają stały kontakt
Constant Contact Api Key,Stały kontakt Klucz API
Constant Contact Api Token,Stały kontakt Api Reklamowe
Constant Contact List,Stała Lista kontaktów
Please select atleast one page,Proszę wybrać conajmniej jedną stronę
Please select atleast one country,Proszę wybrać conajmniej jednego kraju
Field cannot be empty,Pole nie może być puste
Total Coupons Generated,Wszystkich Kupony Generated
Total Coupons Unused,Wszystkich Kupony Niewykorzystane
Total Coupons Used,Wszystkich Kupony Używane
`Active Date` cannot be greater than `Inactive Date`,`Aktywny dzień spełnienia wymogu nie może być większa niż` Nieaktywne dzień spełnienia wymogu
`From` Date cannot be greater than `To` Date,`From` Data nie może być większa niż` To` Data
Date & Time should be greater than current date time.,Data i czas powinien być większy niż aktualny czas data.
Total Generated,Razem Generated
Till,Do
Total Used,Razem Używane
Total Unused,Razem Niewykorzystane
Coupon Statistics (Graphical),Kupon Statystyki (Graphical)
Select date,Wybierz datę
Generate,Generować
Other Statistics,Inne statystyki
Country Statistics,Kraj Statystyki
Device Statistics,Statystyki urządzenia
Coupons List,Lista kupony
Minimum Screen Size,Minimalny rozmiar ekranu
Smartphone (320x480),Smartphone (320x480)
Tablet Portrait(768x1024),Portret tabletka (768x1024)
Tablet Landscape (1024x768),Tablet krajobrazu (1024x768)
Laptop (1366x768),Laptopa (1366x768)
Desktop(1600x1080),Stacjonarny (1600x1080)
Smartphones only,tylko smartfony
Maximum Display Frequency,Maksymalna częstotliwość wyświetlania
Every Visit,każda wizyta
One Visit per hour,Jedna wizyta za godzinę
One visit per day,Jedna wizyta dziennie
One visit per week,Jedna wizyta tygodniowo
One visit per month,Jedna wizyta miesięcznie
Show Spin Wheel on the front end after the specified time,Pokaż wirowania koła na przednim końcu po upływie określonego czasu
Hide Spin Wheel After,Wirowanie koła Po ukryć
Always Display,zawsze wyświetlaj
10 Seconds,10 sekund
20 Seconds,20 sekund
30 Seconds,30 sekund
40 Seconds,40 sekund
Choose the time interval after which the Spin Wheel on the front end will hide automatically,"Wybierz przedział czasu, po którym wirowania koła na przednim końcu będzie automatycznie ukrycia"
Set Fix Time,Set Time Fix
Active Date/Time,Aktywny Date / Time
Expire Date/Time,Wygasają Date / Time
Whom to show,Kogo koncert
All Visitors,wszyscy odwiedzający
New Visitors,nowych użytkowników
Returning Visitors,Powracający odwiedzający
Select whom to show the popup.,Wybierz komu pokazać okienko.
When to Show,Kiedy Pokaż
Immediately,Natychmiast
After Time(seconds),Po czasie (sekundy)
When scroll down(%),Podczas przewijania w dół (%)
When Exit,kiedy Wyjście
Select when to display the popup.,Wybierz kiedy wyświetli okienko.
Enter time (In Seconds),Wprowadź czas (w sekundach)
Enter time in seconds after which you want to display spin wheel pop up.,"Wprowadź czas w sekundach, po którym chcesz wyświetlić koło wirowania pop-up."
Enter Scroll Percentage,Wprowadź przewijania Procent
Enter scroll percentage after which you want to display spin wheel pop up. Do no enter % sign.,Wprowadź przewijania procentową po której chcesz wyświetlić koło wirowania pop-up. Czy nie wprowadzić znak%.
Geo Location,Geo Lokalizacja
World Wide,Na całym świecie
Display selected areas only,wyświetlać tylko wybrane obszary
Do not display selected areas,Nie wyświetlaj wybrane obszary
Select Geo Location where you want to show the popup.,"Wybierz lokalizację geograficzną, gdzie chcesz pokazać okienko."
Select countries.,Wybranych krajach.
Title Text,tytuł Tekst
Subtitle Text,Tekst napisów
Rules Text,zasady Tekst
One rule should be entered in one line in order to show it on pop up point wise.,"Jedna zasada powinna zostać wprowadzona w jednej linii, aby pokazać go na pop-up punkt mądrzy."
Are your sure?,Jesteś pewien?
Please enter a valid color code,Proszę podać poprawny kod koloru
`Active Date` cannot be greater than `Expire Date`,`Aktywny dzień spełnienia wymogu nie może być większa niż` Wygasnąć dzień spełnienia wymogu
The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is: ,Suma Grawitacji nie jest w poprawnym zakresie. Powinno być betwen 1 100. Całkowita jest:
No list exists for this API key.,Nie istnieje lista dla tego klucza API.
No. of times,Ilość razy
Date,Data
Please upload an image file.,Proszę przesłać plik obrazu.
Note: select time in GMT only.,Uwaga: Wybierz czas tylko GMT.
This slot is already available.,To gniazdo jest już dostępny.
