"Something went wrong while generating the coupon code, please try again.","Algo deu errado ao gerar o código de cupão, por favor tente novamente."
Schedule has been deleted successfully,Programação foi excluído com sucesso
Invalid Data.,Dados inválidos.
Add/Edit Schedule,Adicionar / Editar Agenda
Schedule has been saved successfully.,Cronograma foi salva com sucesso.
Email has been sent successfully.,E-mail foi enviada com sucesso.
"Something went wrong while sending the coupon email, please try again.","Algo deu errado ao enviar o e-mail de cupão, por favor tente novamente."
Spin and Win,Rode e ganhe
Knowband,Knowband
Settings saved successfully.,Configurações salvas com sucesso.
New Customer,Novo cliente
No list found. (Verify Credentials),Nenhuma lista encontrada. (Verificar as credenciais)
The Private Klaviyo API Key you have set is invalid.,O Klaviyo API Chave Privada de ter definido é inválido.
The Private Klaviyo API key you have set is no longer valid.,A chave API Privada Klaviyo você tem conjunto não é mais válido.
Unable to verify Klaviyo Private API Key.,Não é possível verificar Klaviyo Privada API Key.
Mobile,Móvel
Tablet,Tábua
Desktop,Área de Trabalho
You have already taken advantage of this offer. Please try another email.,"Você já tomaram vantagem desta oferta. Por favor, tente outro e-mail."
Not your lucky day today. Better Luck Next Time.,Não é o seu dia de sorte hoje. Mais sorte da próxima vez.
Error occurred while subscribing. Please try again later.,"Erro ocorrido enquanto subscrever. Por favor, tente novamente mais tarde."
Jan,Jan
Feb,fevereiro
Mar,estragar
Apr,abril
May,Pode
Jun,junho
Jul,julho
Aug,agosto
Sep,setembro
Oct,outubro
Nov,novembro
Dec,dezembro
None,Nenhum
Rose Day,Dia Rose
Propose Day,propor Dia
Chocolate Day,Dia Chocolate
Teddy Day,Dia Teddy
Promise Day,Dia Promise
Hug Day,Dia do Abraço
Kiss Day,Beijo Dia
Valentine\'s Day,Dia dos namorados
Xmas Theme 1,Tema xmas 1
Xmas Theme 2,Tema 2 xmas
Merry Christmas - Theme 1,Feliz Natal - Tema 1
Merry Christmas - Theme 2,Feliz Natal - Tema 2
Merry Christmas - Theme 3,Feliz Natal - Tema 3
Merry Christmas - Theme 4,Feliz Natal - Tema 4
Merry Christmas - Theme 5,Feliz Natal - Tema 5
Black Friday Theme1,Black Friday Theme1
Black Friday Theme2,Black Friday Theme2
Black Friday Theme3,Black Friday Theme3
Black Friday Theme4,Black Friday Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Theme1 Páscoa
Easter Theme2,Theme2 Páscoa
Easter Theme3,Theme3 Páscoa
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Graças Dando Theme1
Happy New Year Theme1,Feliz Ano Novo Theme1
Happy New Year Theme2,Feliz Ano Novo Theme2
Happy New Year Theme3,Feliz Ano Novo Theme3
Happy New Year Theme4,Feliz Ano Novo Theme4
Happy New Year Theme5,Feliz Ano Novo Theme5
