"with %1% discount","with %1% discount"
"for free","for free"
"for %1%2 only","for %1%2 only"
"with %1%2 discount","with %1%2 discount"
"You've got one %1 %2.","You've got one %1 %2."
"You've got %1 %2 %3.","You've got %1 %2 %3."
"Add one more %1, to get the next %2 %3!","Add one more %1, to get the next %2 %3!"
"Add one more %1, to get the next %2 %3 %4!","Add one more %1, to get the next %2 %3 %4!"
"Add one %1, to get the next %2 %3!","Add one %1, to get the next %2 %3!"
"Add one %1, to get the next %2 %3 %4!","Add one %1, to get the next %2 %3 %4!"
"Add %1 more %2, to get the next %3 %4!","Add %1 more %2, to get the next %3 %4!"
"Add %1 more %2, to get the next %3 %4 %5!","Add %1 more %2, to get the next %3 %4 %5!"
"Add %1 %2, to get the next %3 %4!","Add %1 %2, to get the next %3 %4!"
"Add %1 %2, to get the next %3 %4 %5!","Add %1 %2, to get the next %3 %4 %5!"
"Add one more %1, to get all of the next %2 %3!","Add one more %1, to get all of the next %2 %3!"
"Add one %1, to get all of the next %2 %3!","Add one %1, to get all of the next %2 %3!"
"Add %1 more %2, to get all of the next %3 %4!","Add %1 more %2, to get all of the next %3 %4!"
"Add %1 %2, to get all of the next %3 %4!","Add %1 %2, to get all of the next %3 %4!"
"You can now add another %1 %2!","You can now add another %1 %2!"
"You can now add another %1 %2 %3!","You can now add another %1 %2 %3!"
"Add more %1 %2!","Add more %1 %2!"
"You can now add %1 %2!","You can now add %1 %2!"
"You got {{percent-subtotal-with-discount-10}} discount!","Вы получили скидку в {{percent-subtotal-with-discount-10}}!"
"Add  3 more bags","Добавте 3 сумки"
"Add  2 more bags","Добавте 2 сумки"
"Add  one  more bag","Добавте одну сумку"
"to get the most expensive bag for free!","чтобы получить дорогую сумку в подарок!"
"40% discount applied on the most expensive product (not valid for Shine Bright! And Skin Care)","extra message translate 1"
"bag","сумка"
"bags","сумки"
